cd E:/MLV_of_DPRAM/uvm
# reading C:/questasim64_10.7c/win64/../modelsim.ini

# vsim dram_top 
# Start time: 19:07:37 on Oct 13,2020
# ** Note: (vsim-8009) Loading existing optimized design _opt
# Loading sv_std.std
# Loading work.uvm_pkg(fast)
# Loading work.TOP_sv_unit(fast)
# ** Note: (vsim-8785) UVM-aware debugging capabilities will be disabled since no compiled "questa_uvm_pkg" can be found.
# This also means that later if you turn on UVM-aware debugging your debug simulations may have
# different random seeds from your non-debug simulations.
# Loading work.dram_top(fast)
# Loading work.DUT(fast)
# Loading work.intif(fast)
# ** Warning: (vsim-3764) Stand-alone call to function 'get' treated as implicit void cast.
#    Time: 0 ns  Iteration: 0  Region: /TOP_sv_unit File: MON1.sv Line: 15
# ** Warning: (vsim-3764) Stand-alone call to function 'get' treated as implicit void cast.
#    Time: 0 ns  Iteration: 0  Region: /TOP_sv_unit File: MON2.sv Line: 18
# ** Warning: (vsim-3764) Stand-alone call to function 'get' treated as implicit void cast.
#    Time: 0 ns  Iteration: 0  Region: /TOP_sv_unit::dram_drv File: DRV.sv Line: 11
add wave -position insertpoint  \
sim:/dram_top/inf/clk \
sim:/dram_top/inf/data0_in \
sim:/dram_top/inf/data0_out \
sim:/dram_top/inf/data1_in \
sim:/dram_top/inf/data1_out \
sim:/dram_top/inf/add0 \
sim:/dram_top/inf/add1 \
sim:/dram_top/inf/en \
sim:/dram_top/inf/wr0 \
sim:/dram_top/inf/wr1
run -all
# ----------------------------------------------------------------
# UVM-1.1d
# (C) 2007-2013 Mentor Graphics Corporation
# (C) 2007-2013 Cadence Design Systems, Inc.
# (C) 2006-2013 Synopsys, Inc.
# (C) 2011-2013 Cypress Semiconductor Corp.
# ----------------------------------------------------------------
# 
#   ***********       IMPORTANT RELEASE NOTES         ************
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_NO_DEPRECATED undefined.
#   See http://www.eda.org/svdb/view.php?id=3313 for more details.
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_OBJECT_MUST_HAVE_CONSTRUCTOR undefined.
#   See http://www.eda.org/svdb/view.php?id=3770 for more details.
# 
#       (Specify +UVM_NO_RELNOTES to turn off this notice)
# 
# UVM_INFO @ 0: reporter [RNTST] Running test dram_test...
# UVM_INFO SB.sv(29) @ 0: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=  0,add= 0
# UVM_INFO SB.sv(32) @ 0: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=  0,add= 0
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    0                                
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO MON1.sv(33) @ 5: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 5: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# UVM_INFO DRV.sv(27) @ 10: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in= 79,inf.add0= 2, inf.wr0=0
# UVM_INFO COV.sv(31) @ 15: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 15: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=  0,pkt1.data1_out=  0
# UVM_INFO SB.sv(29) @ 15: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=  0,add= 0
# UVM_INFO SB.sv(32) @ 15: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=  0,add= 0
# UVM_INFO DRV.sv(39) @ 20: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 25: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 25: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 25: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    25                               
#   end_time                     time           64    20                               
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 30: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1= 2, inf.wr1=1
# UVM_INFO COV.sv(31) @ 35: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 35: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=  0,pkt1.data1_out=  0
# UVM_INFO SB.sv(29) @ 35: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 79,add= 2
# UVM_INFO SB.sv(32) @ 35: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=  0,add= 0
# UVM_INFO DRV.sv(39) @ 40: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 40: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 45: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 45: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 45: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 45: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    45                               
#   end_time                     time           64    40                               
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 50: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in=201,inf.add0=41, inf.wr0=0
# UVM_INFO COV.sv(31) @ 55: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 55: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 79,pkt1.data1_out= 79
# UVM_INFO SB.sv(29) @ 55: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 79,add= 2
# UVM_INFO SB.sv(32) @ 55: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 79,add= 2
# UVM_INFO DRV.sv(39) @ 60: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 65: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 65: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 65: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 65: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    65                               
#   end_time                     time           64    60                               
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 70: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=41, inf.wr1=1
# UVM_INFO COV.sv(31) @ 75: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 75: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 79,pkt1.data1_out= 79
# UVM_INFO SB.sv(29) @ 75: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=201,add=41
# UVM_INFO SB.sv(32) @ 75: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 79,add= 2
# UVM_INFO DRV.sv(39) @ 80: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 80: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 85: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 85: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 85: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 85: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    85                               
#   end_time                     time           64    80                               
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
